sid,family,instance_type,naive_mae,naive_mase,snaive_mae,snaive_mase,gbm_mae,gbm_mase,gbm_vs_naive_pct
m5.2xlarge@us-west-2b,general,m5.2xlarge,0.0030957440476190477,0.35642897348784597,0.009963720238095239,1.1471744827598813,0.0025823905339882845,0.29732393667431545,16.582556753216913
m5.2xlarge@us-west-2c,general,m5.2xlarge,0.0019341666666666667,0.267697112808017,0.0066430059523809514,0.91942103256468,0.001623376177411117,0.2246823519315491,16.068444080424804
m5.large@ap-southeast-2a,general,m5.large,0.0005384523809523808,0.23606036492716026,0.001871934523809524,0.8206659724089987,0.0004916824398713637,0.2155561759779372,8.68599392174536
m5.large@ap-southeast-2b,general,m5.large,0.0006769345238095239,0.29084537179275155,0.0020929761904761902,0.8992486228161555,0.0005272276075839494,0.2265236949124847,22.115420466824798
m5.large@ap-southeast-2c,general,m5.large,0.000670922619047619,0.3126216898961468,0.0019977083333333335,0.9308479657054991,0.0005043626370591604,0.23501175164094543,24.825512996549747
m5.large@eu-west-1a,general,m5.large,0.0005874404761904763,0.2955344915013995,0.001973244047619048,0.9927161982487733,0.0004516998384973503,0.2272449507519021,23.1071305425526
m5.large@eu-west-1b,general,m5.large,0.00048092261904761916,0.24231569771045489,0.0016078273809523812,0.8101133075940283,0.00043929516280852857,0.22134145839839647,8.655749301525118
m5.large@us-east-1a,general,m5.large,0.0005938392857142859,0.3134644718271064,0.0017638690476190475,0.9310773010226674,0.00045818160155213894,0.24185610010406192,22.844174749902947
m5.large@us-east-1b,general,m5.large,0.000529375,0.3411556418004497,0.001845952380952381,1.1896237435785175,0.000544724773578403,0.35104780115182,-2.899603037242593
m5.large@us-east-1c,general,m5.large,0.0005966964285714285,0.3263033471550354,0.001726815476190476,0.944308768780603,0.00046502477295241396,0.2542987232011208,22.066774546355873
m5.large@us-west-2a,general,m5.large,0.0005415476190476188,0.2567380812539248,0.0018630059523809521,0.8832179419791126,0.00048760301890968954,0.23116390707921686,9.9611923754365
m5.large@us-west-2b,general,m5.large,0.0006479166666666665,0.3056659258172058,0.001989315476190476,0.9384940811919089,0.0004981400720235454,0.23500621937243982,23.116644832378817
m5.large@us-west-2c,general,m5.large,0.000665029761904762,0.4913246584804389,0.001703779761904762,1.258754205595421,0.0006456314385345848,0.4769931576200152,2.9169105627118164
m5.xlarge@ap-southeast-2a,general,m5.xlarge,0.0013623214285714285,0.29380180502764325,0.0036140178571428564,0.7794085504066008,0.001095183105639368,0.2361900550959114,19.609052410794845
m5.xlarge@ap-southeast-2b,general,m5.xlarge,0.0010266666666666664,0.30161875259101606,0.0030575595238095227,0.8982635937118923,0.0007965500132842456,0.2340140468017709,22.413959745041
m5.xlarge@ap-southeast-2c,general,m5.xlarge,0.0012344345238095241,0.2855225468066891,0.004271220238095238,0.9879257723525896,0.000959766943011567,0.2219924156559131,22.250477890906662
m5.xlarge@eu-west-1a,general,m5.xlarge,0.0015026785714285715,0.4169667219429047,0.00500625,1.3891458169541693,0.0013121751606040076,0.3641053953486586,12.67758883680995
m5.xlarge@eu-west-1b,general,m5.xlarge,0.0024952976190476196,0.6278689271006448,0.005349880952380952,1.3461416337862109,0.00199715420664173,0.5025256544176394,19.963286487485842
m5.xlarge@us-east-1a,general,m5.xlarge,0.0011585119047619048,0.29823026242669515,0.003778571428571428,0.9726998437469354,0.0009161111473856063,0.2358301772936724,20.923458479791492
m5.xlarge@us-east-1b,general,m5.xlarge,0.0012860119047619053,0.3283830573291005,0.004275446428571429,1.0917349710856727,0.0010484985290956559,0.2677340320992148,18.468987323272334
m5.xlarge@us-east-1c,general,m5.xlarge,0.0014069940476190475,0.2885691106589952,0.0036130059523809517,0.7410137350961403,0.0011361971643416926,0.233029703147776,19.246483930447656
m5.xlarge@us-west-2a,general,m5.xlarge,0.0015138988095238098,0.3705460462850259,0.005506428571428572,1.3477686378097853,0.0012267489625478825,0.30026245809609775,18.967572017990353
m5.xlarge@us-west-2b,general,m5.xlarge,0.0010656845238095234,0.23476502386005166,0.00395485119047619,0.8712341348226674,0.0008248863424633449,0.18171837682129183,22.595634633539806
m5.xlarge@us-west-2c,general,m5.xlarge,0.00148172619047619,0.3789155725426021,0.0038547619047619047,0.98576196030446,0.0012214016330682196,0.3123438743765328,17.56900560179129
p3.2xlarge@ap-southeast-2a,gpu,p3.2xlarge,0.030677291666666672,0.2474008387209506,0.0874679761904762,0.7053963858961239,0.029400464027889116,0.2371037032316761,4.162126346260642
